Product Name,Category,Sub-category,Techncal composition,SKU,Duration (only for Seeds),Type of grain/fruit,Seed rate,Crop/Target Crop,Insect/Disease/Deficiency,Dosage,Time of sowing /Time of application,Method of application,Geographies,Disclaimer,Season,1 lineShort Description,"USP's (For CCC, Include mode of action here)",Product Unique ID*,SKU FG Code*,Additional Information,Status*
,Crop Protection,,,,,,,,Leaf roller (Paddy),750 ml/acre (Leaf roller for Paddy),,,,,"Rabi, Kharif",,,Dummy218,DummyFG218,Add information for searchability,Active
,Crop Protection,,,,,,,,"Gall midge, 
 Stem borer (Paddy)",500 ml/acre (Paddy),,,,,"Rabi, Kharif",,,Dummy219,DummyFG219,Add information for searchability,Active
,Crop Protection,,,,,,,Beans,"Pod borer, 
 Black bug (Beans)",1200 ml/acre (Beans),,,,,"Rabi, Kharif",,,Dummy220,DummyFG220,Add information for searchability,Active
,Crop Protection,,,,,,,Gram,Cut worm (Gram),1000 ml/acre (Gram),,,,,"Rabi, Kharif",,,Dummy221,DummyFG221,Add information for searchability,Active
,Crop Protection,,,,,,,Sugarcane,Black bug (Sugarcane),300 ml/acre (Black bug in Sugarcane),,,,,"Rabi, Kharif",,,Dummy222,DummyFG222,Add information for searchability,Active
,Crop Protection,,,,,,,,Early shoot & stalk borer (Sugarcane),500 - 600 ml/acre (Sugarcane),,,,,"Rabi, Kharif",,,Dummy223,DummyFG223,Add information for searchability,Active
,Crop Protection,,,,,,,,Pyrilla (Sugarcane),,,,,,"Rabi, Kharif",,,Dummy224,DummyFG224,Add information for searchability,Active
,Crop Protection,,,,,,,Cotton,"Aphid, 
 Bollworm, 
 White fly (Cotton)",500 ml/acre (Cotton),,,,,"Rabi, Kharif",,,Dummy225,DummyFG225,Add information for searchability,Active
,Crop Protection,,,,,,,,Cut worm (Cotton),1500 ml/acre (Cutworm in Cotton),,,,,"Rabi, Kharif",,,Dummy226,DummyFG226,Add information for searchability,Active
,Crop Protection,,,,,,,Ground nut,Aphid (Ground nut),400-450 ml/acre (Ground nut),,,,,"Rabi, Kharif",,,Dummy227,DummyFG227,Add information for searchability,Active
,Crop Protection,,,,,,,,Root grub (Ground nut),,,,,,"Rabi, Kharif",,,Dummy228,DummyFG228,Add information for searchability,Active
,Crop Protection,,,,,,,Mustard,Aphid (Mustard),200 ml/acre (Mustard),,,,,"Rabi, Kharif",,,Dummy229,DummyFG229,Add information for searchability,Active
,Crop Protection,,,,,,,Brinjal,Shoot & fruit borer (Brinjal),400 ml/acre (Brinjal),,,,,"Rabi, Kharif",,,Dummy230,DummyFG230,Add information for searchability,Active
,Crop Protection,,,,,,,Cabbage,Diamond back moth (Cabbage),800 ml/acre (Cabbage),,,,,"Rabi, Kharif",,,Dummy231,DummyFG231,Add information for searchability,Active
,Crop Protection,,,,,,,Onion,Root grub (Onion),2000 ml/acre (Onion),,,,,"Rabi, Kharif",,,Dummy232,DummyFG232,Add information for searchability,Active
,Crop Protection,,,,,,,Tobacco,Ground beetle (Tobacco),700 ml/acre (Tobacco),,,All India,,"Rabi, Kharif",,,Dummy233,DummyFG233,Add information for searchability,Active
SHRIRAM CHLOR PLUS,Crop Protection,Insecticide,Chlorpyrifos 50% + Cypermethrin 5% EC,"100ml, 250ml, 500ml, 1ltr, 5ltr",,,,Rice,"Stem folder, Leaf roller",400 ml/acre,At the time of insect infestation,Spraying,,,"Rabi, Kharif",Broad-spectrum insecticide with fast-acting contact and stomach action for effective pest control.,"o Broad-spectrum insecticide with contact and stomach mode of action
o It has quick knockdown action against targeted pest",Dummy234,DummyFG234,Add information for searchability,Active
,Crop Protection,,,,,,,Cotton,"Aphids, Jassids, Thrips, Whitefly",250-300 ml/ acre,,,,,"Rabi, Kharif",,,Dummy235,DummyFG235,Add information for searchability,Active
,Crop Protection,,,,,,,,"Spodoptera litura, Spotted bollworm, Pink bollworm, American bollworm",,,,All India,,"Rabi, Kharif",,,Dummy236,DummyFG236,Add information for searchability,Active
SHRIRAM FIPRO PLUS,Crop Protection,Insecticide,FIPRONIL 5% SC,"1 ltr, 500 ml, 250 ml, 100 ml",,,,Rice,"Stem borer, 
 Brown plant hopper, 
 Green leaf hopper, 
 Rice leaf hopper, 
 Rice gall midge, 
 Whorl maggot, 
 WBPH (Rice)",400 - 600 ml/acre (Rice),At the time of insect infestation,Spraying,,,"Rabi, Kharif","Effective control of stem borer, leaf hopper, thrips, and bollworms across multiple crops with fast contact and ingestion action.","o It has both contact and ingestion activity, but is particularly effective by a way of ingestion
o Excellect thripicide",Dummy237,DummyFG237,Add information for searchability,Active
,Crop Protection,,,,,,,Cabbage,Diamond back moth,320 - 400 ml/acre (Cabbage),,,,,"Rabi, Kharif",,,Dummy238,DummyFG238,Add information for searchability,Active
,Crop Protection,,,,,,,Chillies,"Thrips, 
 Aphids, 
 Fruit borers (Chillies)",320 - 400 ml/acre (Chillies),,,,,"Rabi, Kharif",,,Dummy239,DummyFG239,Add information for searchability,Active
,Crop Protection,,,,,,,Sugarcane,"Early shoot borer, 
 Root borer (Sugarcane)",600 - 800 ml/acre (Sugarcane),,,,,"Rabi, Kharif",,,Dummy240,DummyFG240,Add information for searchability,Active
,Crop Protection,,,,,,,Cotton,"Aphids, 
Jassids, 
Thrips, 
White fly",600 - 800 ml/acre (Cotton),,,,,"Rabi, Kharif",,,Dummy241,DummyFG241,Add information for searchability,Active
,Crop Protection,,,,,,,,Boll worms,800 ml/acre (Bollworms in Cotton),,,All India,,"Rabi, Kharif",,,Dummy242,DummyFG242,Add information for searchability,Active
SHRIRAM FIPRO,Crop Protection,Insecticide,FIPRONIL 0.3% GR,"5 Kg, 1 Kg",,,,Rice,"Stem borer, 
 Brown plant hopper, 
 Green leaf hopper, 
 Rice leaf hopper, 
 Rice gall midge, 
 Whorl maggot, 
 WBHP (Rice)",6668 - 10000 g/acre (Rice),Just 20 days after transplanting,Broadcasting,,,"Rabi, Kharif",Effective ingestion and contact action targeting stem borers and leaf hoppers with long-lasting soil protection for rice and sugarcane.,"o It acts as an ingestion toxicant with some complimentary contact action and acts by interfering in nerve impulse transmission. It interferes with the passage of chloride ions through the Gamma Amino Butyric Acid (GABA) regulated chloride channel, thereby disrupting CNS activity and at sufficient doses, causing insect death.	
o Has both contact and ingestion activity, but is particularly effective by way of ingestion. An intermediate response, such as cessation of feeding, may be noted soon after treatment.	
o Higher potency for binding with insect receptor complexes than to mammalian complexes which makes it more selective for insects and safe for human and animals	
o Longer persistency and greater solubility in water than other granules

",Dummy243,DummyFG243,Add information for searchability,Active
,Crop Protection,,,,,,,Sugarcane,Early shoot borer (Sugarcane),10000 g/acre (Sugarcane),At the time of sowing & earthing,,,,"Rabi, Kharif",,,Dummy244,DummyFG244,Add information for searchability,Active
,Crop Protection,,,,,,,,Root borer (Sugarcane),13320 g/acre (Root borer in Sugarcane),,,All India,,"Rabi, Kharif",,,Dummy245,DummyFG245,Add information for searchability,Active
SHRIRAM MUSHA,Crop Protection,Insecticide,IMIDACLOPRID 30.5% SC,"1 ltr, 500 ml, 250 ml",,,,Cotton,"Aphid, 
 Jassids, 
 Thrips (Cotton)",24 - 30 g/acre (Cotton),At the time of insect infestation,Spraying,,,"Rabi, Kharif","Systemic neurotoxin delivering fast, effective control of aphids, jassids, and thrips in cotton and hoppers in rice.","o It is a systemic insecticide that acts as an insect neurotoxin and belongs to a class of chemicals called the neonicotinoids which act on the central nervous system of insects. 
o Formulation in suspension concentrate. It is chloro-nicotinyl insecticide for soil, seed and foliar use.
o Readily taken up by the plant & further distributed acropetally, with good root- systemic action 
o Effectively controls pest like rice hoppers, Whiteflies and termites


",Dummy246,DummyFG246,Add information for searchability,Active
,Crop Protection,,,,,,,Rice,"Brown plant hopper, 
 White backed plant hopper (Rice)",24 - 30 g/acre (Rice),,Spraying,All India,,"Rabi, Kharif",,,Dummy247,DummyFG247,Add information for searchability,Active
SHRIRAM GOLD 17.8,Crop Protection,Insecticide,IMIDACLOPRID 17.8% SL,"50ml, 100ml, 250ml, 500ml, 1ltr",,,,Cotton,"Aphid, 
 Whitefly, 
 Jassids, 
 Thrips, (Cotton)",40 - 50 ml/acre (Cotton),At the time of insect infestation,Spraying,,,"Rabi, Kharif","Fast-acting systemic insecticide with broad-spectrum control and long-lasting protection against aphids, whiteflies, jassids, and thrips across multiple crops.","o It is a systemic insecticide that translocates rapidly through plant tissues following application. Imidacloprid acts on several types of post-synaptic nicotinic acetylcholine receptors in the nervous system.	
o Compatible with all existing plant protection chemicals presently available	
o Outstanding biological eficacy, especially its excellent rootsystemic properties, its broad spectrum of activity, good long lasting effect	
o Has high selectivity, quick knockdown action &
long residual action

",Dummy248,DummyFG248,Add information for searchability,Active
,Crop Protection,,,,,,,Paddy,"BPH, 
 WBPH, 
 GLH (Paddy)",40 - 50 ml/acre (Paddy),,,,,"Rabi, Kharif",,,Dummy249,DummyFG249,Add information for searchability,Active
,Crop Protection,,,,,,,Chilly,"Jassid, 
 Aphid, 
 Thrips (Chilly)",50 - 100 ml/acre (Chilly),,,,,"Rabi, Kharif",,,Dummy250,DummyFG250,Add information for searchability,Active
,Crop Protection,,,,,,,Sugarcane,Termite (Sugarcane),140 ml/acre (Sugarcane),,Drenching,,,"Rabi, Kharif",,,Dummy251,DummyFG251,Add information for searchability,Active
,Crop Protection,,,,,,,Mango,Hopper (Mango),2-4 ml/ tree (Mango),,Spraying,,,"Rabi, Kharif",,,Dummy252,DummyFG252,Add information for searchability,Active
,Crop Protection,,,,,,,Sunflower,"Jassid, 
 Thrips, 
 Whitefly (Sunflower)",40 ml/acre (Sunflower),,,,,"Rabi, Kharif",,,Dummy253,DummyFG253,Add information for searchability,Active
,Crop Protection,,,,,,,Okra,"Aphid, 
 Jassid, 
 Thrips (Okra)",40 ml/acre (Okra),,,,,"Rabi, Kharif",,,Dummy254,DummyFG254,Add information for searchability,Active
,Crop Protection,,,,,,,Citrus,"Leaf miner, (Citrus)",20 ml/acre (Citrus),,,,,"Rabi, Kharif",,,Dummy255,DummyFG255,Add information for searchability,Active
,Crop Protection,,,,,,,,psylla (Citrus),20 ml/acre (Citrus),,,,,"Rabi, Kharif",,,Dummy256,DummyFG256,Add information for searchability,Active
,Crop Protection,,,,,,,Groundnut,"Aphid, 
 Jassid (Groundnut)",40 - 50 ml/acre (Groundnut),,,,,"Rabi, Kharif",,,Dummy257,DummyFG257,Add information for searchability,Active
,Crop Protection,,,,,,,Tomato,Whitefly (Tomato),60 - 70 ml/acre (Tomato),,,,,"Rabi, Kharif",,,Dummy258,DummyFG258,Add information for searchability,Active
,Crop Protection,,,,,,,Grapes,Flea bettle (Grapes),120 - 160 ml/acre (Grapes),,,All India,,"Rabi, Kharif",,,Dummy259,DummyFG259,Add information for searchability,Active
SHRIRAM PROFEN 50,Crop Protection,Insecticide,PROFENOFOS 50% EC,"250ml, 500ml, 1ltr, 5ltr",,,,Cotton,Bollworm (Cotton),600 - 800 ml/acre (Cotton),At the time of insect infestation,Spraying,,,"Rabi, Kharif",Powerful neurotoxic insecticide delivering fast knockdown and long-lasting control of key cotton pests with a short harvest wait time.,"o It is a neurotoxin acting as a cholonesterase inhibitor in insect nervous system. The separate optical isomer, due to the chiral phosphorus atom, shops different types of insecticidal activity and ability to inhibit acetyl cholinesterase. 
o Exhibits ovicide cum adulticide actions
o Less waiting period between last spray and harvest
o Fast knock down action with long lasting residual activity",Dummy260,DummyFG260,Add information for searchability,Active
,Crop Protection,,,,,,,,"Jassids, Aphids, Thrips, Whiteflies (Cotton)",400 ml/acre (Cotton),,,,,"Rabi, Kharif",,,Dummy261,DummyFG261,Add information for searchability,Active
,Crop Protection,,,,,,,Soybean,Semi looper & Girdle beetle (Soybean),400 ml/acre (Soybean),,,All India,,"Rabi, Kharif",,,Dummy262,DummyFG262,Add information for searchability,Active
SHRIRAM SHERA,Crop Protection,Insecticide,THIAMETHOXAM 25% WG),"5g, 100g, 250g, 500g, 1 Kg",,,,Rice,"Stem borer, Gall midge, Leaf Folder, WBPH, BPH, GLH, Thrips (Rice)",40 g/acre (Rice),At the time of insect infestation,Spraying,,,"Rabi, Kharif","Fast-acting, systemic protection against a broad spectrum of chewing and sucking pests—even in tough conditions.","o It is absorbed quickly by plants and transported to all of its parts, including pollen, where it acts to deter insect feeding. 
o Granular broad spectrum insecticide which has quick stomach & contact activity. 
o Rapid uptake and fast acting, regardless of dry and wet conditions, which contributes to its favourable safety and environmental profile
o Highly systemic and thus well suited for application as a foliar spray, drench or drip irrigation
",Dummy263,DummyFG263,Add information for searchability,Active
,Crop Protection,,,,,,,Cotton,"Jassid, Aphid, Thrips (Cotton)",40 g/acre (Cotton),,,,,"Rabi, Kharif",,,Dummy264,DummyFG264,Add information for searchability,Active
,Crop Protection,,,,,,,,White flies (Cotton),80 g/acre (Whiteflies in Cotton),,,,,"Rabi, Kharif",,,Dummy265,DummyFG265,Add information for searchability,Active
,Crop Protection,,,,,,,Okra,"Jassid, Aphid,White flies (Okra)",40 g/acre (Okra),,,,,"Rabi, Kharif",,,Dummy266,DummyFG266,Add information for searchability,Active
,Crop Protection,,,,,,,Mango,Hoppers (Mango),40 g/acre (Mango),,,,,"Rabi, Kharif",,,Dummy267,DummyFG267,Add information for searchability,Active
,Crop Protection,,,,,,,Wheat,Aphid (Wheat),20 g/acre (Wheat),,,,,"Rabi, Kharif",,,Dummy268,DummyFG268,Add information for searchability,Active
,Crop Protection,,,,,,,Mustard,Aphid (Mustard),20 - 40 g/acre (Mustard),,,,,"Rabi, Kharif",,,Dummy269,DummyFG269,Add information for searchability,Active
,Crop Protection,,,,,,,Tomato,White flies (Tomato),80 g/acre (Tomato),,,,,"Rabi, Kharif",,,Dummy270,DummyFG270,Add information for searchability,Active
,Crop Protection,,,,,,,Brinjal,White flies (Brinjal),80 g/acre (Brinjal),,,,,"Rabi, Kharif",,,Dummy271,DummyFG271,Add information for searchability,Active
,Crop Protection,,,,,,,Tea,Mosquito bug (Tea),40 g/acre (Tea),,,,,"Rabi, Kharif",,,Dummy272,DummyFG272,Add information for searchability,Active
,Crop Protection,,,,,,,Potato,Aphids (Potato),40 g/acre (Foliar in Potato),,,,,"Rabi, Kharif",,,Dummy273,DummyFG273,Add information for searchability,Active
,Crop Protection,,,,,,,,,80 g/acre (Soil in Potato),,,,,"Rabi, Kharif",,,Dummy274,DummyFG274,Add information for searchability,Active
,Crop Protection,,,,,,,Citrus,Psylla (Citrus),40 g/acre (Citrus),,,All India,,"Rabi, Kharif",,,Dummy275,DummyFG275,Add information for searchability,Active
SHRIRAM CHLOR PLUS,Crop Protection,Insecticide,Chlorpyrifos 50% + Cypermethrin 5%EC,"100ml, 250ml, 500ml, 1ltr, 5ltr",,,,Cotton,"Aphids,
 Jassids,
 Thrips,
 Whitefly,
 Spodoptera litura,
 Spotted bollworm,
 Pink Bollworm,
 American bollworm (Cotton)",400 ml/acre (Cotton),At the time of insect infestation,Spraying,,,"Rabi, Kharif","Dual-action formula for long-lasting control of chewing and sucking pests—powerful knockdown with broad-spectrum impact.







","o It ffects the nervous system by inhibiting the breakdown of acetylcholine (ACh), a neurotransmitter. When insects are exposed to it, it binds to the active site of the cholinesterase (ChE) enzyme, which prevents breakdown of ACh in the synaptic cleft. 
o Contact and stomach action against pod borers, fruit borers, stem borers, leaf miners, defoliating caterpillars, sucking pests, termites etc., Combination results in synergistic action providing longer protection. 
o High Impact Strength, better durability& low frictional loss

",Dummy276,DummyFG276,Add information for searchability,Active
,Crop Protection,,,,,,,Rice,"Stem borer,
 Leaf folder (Rice)",250 - 300 ml/acre (Rice),,,All India,,"Rabi, Kharif",,,Dummy277,DummyFG277,Add information for searchability,Active
SHRIRAM PROFEN PLUS,Crop Protection,Insecticide,Profenofos 40% + Cypermethrin 4% EC,"100ml, 250ml, 500ml, 1ltr, 5ltr",,,,Cotton,Bollworm complex,400 - 600 ml/acre,At the time of insect infestation,Spraying,All India,,"Rabi, Kharif",Powerful contact and stomach action combo for effective knockdown of stubborn bollworm complexes.,"o It is a non-systemic insecticide with contact and stomach ation.	
o Combination product of organophosphorus and pyrethroid compound	
o Very effective in controlling bollworm complxes


",Dummy278,DummyFG278,Add information for searchability,Active
SHRIRAM MAHA AGNI,Crop Protection,Insecticide,FENVALERATE 0.4% DP),"1KG, 5KG, 10KG, 25KG",,,,Cotton,"Spotted Bollworm
 Pink bollworm",8000 - 10000 g/acre,At the time of insect infestation,Dusting,All India,,"Rabi, Kharif",Fast-acting dust formulation for lethal knockdown of bollworms in cotton.,"o Affects both peripheral and central nervous system caused by interference with sodium ion permeability in stimulated nerve
membranes
o Effective, quick acting contact pyrathroid insecticide formulation for the control of lepidopterous and sucking pests of pulses, vegetables and groundnut. 
o Compatible with all other dust formulations of insecticdes and fungicides 



",Dummy279,DummyFG279,Add information for searchability,Active
SHRIRAM AVOLET,Crop Protection,Insecticide,THIAMETHOXAM 30% FS,"1 ltr, 500 ml, 250 ml, 100 ml",,,,Cotton,"Aphid, whiteflies, Jassids (Cotton)",10 ml/ kg seed (Cotton),At time of sowing,Seed Treatment,,,"Rabi, Kharif",Power-packed seed treatment for early-season shield against sucking and soil pests.,"o It protects against target pests by interfering with receptors that transmit the message to continue feeding 
o Provides control of a wide range of early-season sucking and chewing, leaf-feeding and soil-dwelling insect pests, such as aphids, wireworms, flea beetles, and leaf miners. 
o Shriram Avolet is water based flowable suspensions & environment friendly than powder or solution, having good retention on seed and soil




",Dummy280,DummyFG280,Add information for searchability,Active
,Crop Protection,,,,,,,Sorghum,Shoot fly (Sorghum),10 ml/ kg seed (Sorghum),,,,,"Rabi, Kharif",,,Dummy281,DummyFG281,Add information for searchability,Active
,Crop Protection,,,,,,,Wheat,Termites (Wheat),3.3 ml/ kg seed (Wheat),,,,,"Rabi, Kharif",,,Dummy282,DummyFG282,Add information for searchability,Active
,Crop Protection,,,,,,,Soybean,Shoot fly (Soybean),10 ml/ kg seed (Soybean),,,,,"Rabi, Kharif",,,Dummy283,DummyFG283,Add information for searchability,Active
,Crop Protection,,,,,,,Chilli,Thrips (Chilli),7 ml/ kg seed (Chilli),,,,,"Rabi, Kharif",,,Dummy284,DummyFG284,Add information for searchability,Active
,Crop Protection,,,,,,,Okra,Jassids (Okra),5.7 ml/ kg seed (Okra),,,,,"Rabi, Kharif",,,Dummy285,DummyFG285,Add information for searchability,Active
,Crop Protection,,,,,,,Maize,Stem Fly (Maize),8 ml/ kg seed (Maize),,,,,"Rabi, Kharif",,,Dummy286,DummyFG286,Add information for searchability,Active
,Crop Protection,,,,,,,Sunflower,"Jassids, Thrips (Sunflower)",10 ml/ kg seed (Sunflower),,,All India,,"Rabi, Kharif",,,Dummy287,DummyFG287,Add information for searchability,Active
SHRIRAM ZINZOCA,Crop Protection,Fungicide,Zineb 68% + Hexaconazole 40% WP,"1 KG, 500 G, 250 G",,,,Paddy,"Sheath Blight, Brown Spot, Blast, Grain discolouration",400 - 500 g/acre,At the time of disease incidence,Spraying,All India,,"Rabi, Kharif",Dual-action fungicide offering long-term protection against multiple rice diseases and resistance buildup.,"o Controls more than one diseases simultaneously in crop
 o Besides controlling many diseases also suitable for fungicide resistance management 
 o Long term control",Dummy288,DummyFG288,Add information for searchability,Active
SHRIRAM ALEKSY,Crop Protection,Fungicide,Azoxystrobin 11%+Tebuconazole 18.3% SC,"1 ltr, 500 ml, 250 ml, 100 ml",,,,"Chilli
 Rice
 Onion
 Apple","Fruit Rot, Powdery Mildew, Die Black (Chilli)
 Sheath Blight (Rice)
 Purple Blotch (Onion)
 Scab, Powdery Mildew,Premature Leaf fall (Apple)","240- 280 ml /acre (Chilli)
 300 ml/acre (Rice)
 300 ml/acre (Onion)
 1 ml/ 8 liter water (Apple)",At the time of disease incidence,Spraying,All India,,"Rabi, Kharif","Broad-spectrum fungicide with protective, curative, and eradicative action—ideal for resistance management across multiple crops.","o Shriram Aleksy is a Broad spectrum fungicide for the control of many fungal pathogens & diseases
 o Multifunctional Action-Can be used as Protective, Curative & Eradicative
 o Its dual site action is a perfect fit for resistance
 management",Dummy289,DummyFG289,Add information for searchability,Active
SHRIRAM BUCONA,Crop Protection,Fungicide,Tebuconazole 25.9% EC,"1 ltr, 500 ml, 250 ml",,,,"Onion
 Chili
 Groundnut
 Paddy","Purple blotch (Onion)
 Fruit rot, powdery mildew (Chilli)
 Tikka, Rust (Groundnut)
 Blast and Sheath Blight (Paddy)",200-300 ml/acre,At the time of disease incidence,Spraying,All India,,"Rabi, Kharif",Broad-spectrum fungicide that not only controls major crop diseases but also boosts plant vitality with phytotonic effects.,"o Broad spectrum fungicide 
 o Controls various diseases of crops effectively
 o Has a phytotonic effects on crop",Dummy290,DummyFG290,Add information for searchability,Active
SHRIRAM PADDYSTAR,Crop Protection,Fungicide,Isoprothialane 40% EC,"1 ltr, 500 ml, 250 ml",,,,Paddy,Blast,300 ml/acre,At the time of disease incidence,Spraying,All India,,"Rabi, Kharif","Powerful blast control with easy absorption that protects leaves, neck, and nodes—keeping paddy crops lush and green.","o Shriram Paddystar absorb easily by the plant leaves and roots
 o One solution for all type of blasts (leaf, neck and node blast) 
 o Develops green leaves in treated crops",Dummy291,DummyFG291,Add information for searchability,Active
SHRIRAM MANCOZEB 45,Crop Protection,Fungicide,Mancozeb 75% WP,"1 KG, 500 G, 250 G",,,,Wheat,"Brown & Black rust, Blight (Wheat)",600 - 800 g/acre (Wheat),At the time of disease incidence,Spraying,,,"Rabi, Kharif","Broad-spectrum fungicide with protective action, controls multiple diseases, boosts plant health by supplying trace nutrients, and resists resistance buildup.","o It is a broad-spectrum fungicide with protective action. The product is fungitoxic when exposed to air. It is converted to an isothiocyanate, which inactivates the sulphahydral (SH) groups in enzymes of fungi. Some times the metals are exchanged between mancozeb and enzymes of fungi, thus causing disturbance in fungal enzyme functioning.	
o Used for foliar sprays, nursery drenching and seed treatments in many crops
o In addition to disease control, it also provides manganese and zinc in traces to crop, there by keeps plants green and healthy.	
o Can be used repeatedly, without any danger of resistance development, for number of years.





",Dummy292,DummyFG292,Add information for searchability,Active
,Crop Protection,,,,,,,Maize,Leaf blight (Maize),600 - 800 g/acre (Maize),,,,,"Rabi, Kharif",,,Dummy293,DummyFG293,Add information for searchability,Active
,Crop Protection,,,,,,,Paddy,Blast (Paddy),600 - 800 g/acre (Paddy),,,,,"Rabi, Kharif",,,Dummy294,DummyFG294,Add information for searchability,Active
,Crop Protection,,,,,,,Potato,Late blight (Potato),600 - 800 g/acre (Potato),,,,,"Rabi, Kharif",,,Dummy295,DummyFG295,Add information for searchability,Active
,Crop Protection,,,,,,,,Early blight (Potato),,,,,,"Rabi, Kharif",,,Dummy296,DummyFG296,Add information for searchability,Active
,Crop Protection,,,,,,,Tomato,Late blight (Tomato),600 - 800 g/acre (Tomato),,,,,"Rabi, Kharif",,,Dummy297,DummyFG297,Add information for searchability,Active
,Crop Protection,,,,,,,,Leaf spot (Tomato),,,,,,"Rabi, Kharif",,,Dummy298,DummyFG298,Add information for searchability,Active
,Crop Protection,,,,,,,Chilies,Damping off (Chilies),3 g/ l of water for soil drench (For Damping off in Chilies),,,,,"Rabi, Kharif",,,Dummy299,DummyFG299,Add information for searchability,Active
,Crop Protection,,,,,,,,Fruit rot (Chilies),600 - 800 g/acre (Chilies),,,,,"Rabi, Kharif",,,Dummy300,DummyFG300,Add information for searchability,Active
,Crop Protection,,,,,,,,Leaf spot (Chilies),,,,,,"Rabi, Kharif",,,Dummy301,DummyFG301,Add information for searchability,Active
,Crop Protection,,,,,,,Onion,Leaf blight (Onion),600 - 800 g/acre (Onion),,,,,"Rabi, Kharif",,,Dummy302,DummyFG302,Add information for searchability,Active
,Crop Protection,,,,,,,Cauliflower,Leaf spot (Cauliflower),600 - 800 g/acre (Cauliflower),,,,,"Rabi, Kharif",,,Dummy303,DummyFG303,Add information for searchability,Active
,Crop Protection,,,,,,,Ground nut,Tikka disease & rust (Ground nut),600 - 800 g/acre (Ground nut),,,,,"Rabi, Kharif",,,Dummy304,DummyFG304,Add information for searchability,Active
,Crop Protection,,,,,,,,Collar rot (Ground nut),25 g/ 10 kg seed (seed treatment) (Collar rot in Ground nut),,,,,"Rabi, Kharif",,,Dummy305,DummyFG305,Add information for searchability,Active
,Crop Protection,,,,,,,Grapes,Angular leaf spot (Grapes),600 - 800 g/acre (Grapes),,,,,"Rabi, Kharif",,,Dummy306,DummyFG306,Add information for searchability,Active
,Crop Protection,,,,,,,,Downy mildew (Grapes),,,,,,"Rabi, Kharif",,,Dummy307,DummyFG307,Add information for searchability,Active
,Crop Protection,,,,,,,Banana,Tip rot (Banana),600 - 800 g/acre (Banana),,,,,"Rabi, Kharif",,,Dummy308,DummyFG308,Add information for searchability,Active
,Crop Protection,,,,,,,,Sigatoka leaf spot (Banana),,,,,,"Rabi, Kharif",,,Dummy309,DummyFG309,Add information for searchability,Active
,Crop Protection,,,,,,,Apple,Scab (Apple),600 - 800 g/acre (Apple),,,,,"Rabi, Kharif",,,Dummy310,DummyFG310,Add information for searchability,Active
,Crop Protection,,,,,,,Cumin,Blight (Cumin),600 - 800 g/acre (Cumin),,,All India,,"Rabi, Kharif",,,Dummy311,DummyFG311,Add information for searchability,Active
SHRIRAM ZIM 50,Crop Protection,Fungicide,Carbendazim 50% WP,"100g, 250g, 500g, 1Kg",,,,Paddy,Blast (Paddy),100 - 200 g/acre (Paddy),At the time of disease incidence,Spraying,,,"Rabi, Kharif","Powerful systemic fungicide that stops fungal growth—protects crops from blast, smuts, mildew, and leaf spots with versatile application.","o It works by inhibiting the development of fungi probably by interfering with spindle formation at mitosis (cell division). 
o Used in various ways such as seed treatment, soil drench, soil mixture and foliar sprays. It is advisable to use Carbendazim in alternate with contact fungicides
o When applied to the foliage the fungicide gets into the xylem and spreads to the distal parts of the leaf but not in the opposite direction towards the roots.",Dummy312,DummyFG312,Add information for searchability,Active
,Crop Protection,,,,,,,,Sheath blight (Paddy),2 g/kg seed (seed treatment) (Sheath blight in Paddy),At the time of sowing,Seed treatment,,,"Rabi, Kharif",,,Dummy313,DummyFG313,Add information for searchability,Active
,Crop Protection,,,,,,,Barley,Loose smut (Barley),2 g/kg seed (seed treatment) (Barley),At the time of sowing,Seed treatment,,,"Rabi, Kharif",,,Dummy314,DummyFG314,Add information for searchability,Active
,Crop Protection,,,,,,,Cotton,Leaf spot (Cotton),100 g/acre (Cotton),At the time of disease incidence,Spraying,,,"Rabi, Kharif",,,Dummy315,DummyFG315,Add information for searchability,Active
,Crop Protection,,,,,,,Groundnut,Leaf spot & collar rot (Groundnut),90 - 100 g/acre (Groundnut),At the time of disease incidence,Spraying,,,"Rabi, Kharif",,,Dummy316,DummyFG316,Add information for searchability,Active
,Crop Protection,,,,,,,Wheat,Loose smut (Wheat),2 g/kg seed (seed treatment) (Wheat),At the time of sowing,Seed treatment,,,"Rabi, Kharif",,,Dummy317,DummyFG317,Add information for searchability,Active
,Crop Protection,,,,,,,Peas,Powdery mildew (Peas),100 g/acre (Peas),At the time of disease incidence,Spraying,,,"Rabi, Kharif",,,Dummy318,DummyFG318,Add information for searchability,Active
,Crop Protection,,,,,,,Beans,Powdery mildew (Beans),140 g/acre (Beans),At the time of disease incidence,Spraying,,,"Rabi, Kharif",,,Dummy319,DummyFG319,Add information for searchability,Active
,Crop Protection,,,,,,,Cucurbits,Powdery mildew (Cucurbits),120 g/acre (Cucurbits),At the time of disease incidence,Spraying,,,"Rabi, Kharif",,,Dummy320,DummyFG320,Add information for searchability,Active
,Crop Protection,,,,,,,Brinjal,Leaf spot (Brinjal),120 g/acre (Brinjal),At the time of disease incidence,Spraying,,,"Rabi, Kharif",,,Dummy321,DummyFG321,Add information for searchability,Active
